"Sample code","Chimp ID","A_1","A_2","B_1","B_2","C_1","C_2","D_1","D_2","1_1","1_2","2_1","2_2","3_1","3_2","4_1","4_2"
4180,"Otali","153-a","161-a","235-a","235-a","180-a","185-a","301-a","301-a","242-a","247-a","302-a","322-a","230-a","238-a","270-a","295-a"
4195,"Komoa","161-a","177-a","235-a","235-a","180-a","189-a","305-b","305-b","242-a","255-a","302-a","334-a","230-a","246-a","278-a","295-a"
4196,"Gizmo","141-a","161-a","200-a","235-a","180-a","180-a","284-a","301-a","242-a","254-a","302-a","322-a","234-a","238-a","278-a","278-a"
4204,"Kocha","141-a","161-a","200-a","235-a","180-a","180-a","301-a","305-b","255-a","259-a","322-a","334-a","238-b","246-a","270-a","278-a"
4205,"Misheli","141-a","157-a","235-a","235-a","189-b","189-b","297-a","301-a","254-a","255-a","302-a","318-a","230-a","238-a","295-a","295-a"
4206,"Tabora","141-a","173-a","196-a","235-a","180-a","189-a","284-a","305-a","242-a","254-a","322-a","326-a","234-b","234-a","278-a","286-a"
4211,"Makiwa","141-a","177-a","203-a","231-a","181-a","189-b","288-a","297-a","255-a","258-b","318-a","330-a","238-a","246-b","270-a","286-a"
4219,"Fansi","141-a","161-a","200-a","235-a","180-a","193-a","267-a","305-a","242-a","259-a","322-a","326-b","226-a","234-a","278-a","282-a"
4220,"Eden","141-a","141-a","200-a","235-a","180-a","189-b","267-a","301-a","255-a","266-a","302-a","322-a","234-a","234-a","286-a","295-a"
4223,"Kati (Tita)","153-a","161-a","200-a","203-a","180-a","189-a","267-a","284-a","259-a","263-a","310-a","322-a","238-a","246-a","286-a","295-a"
4234,"Fundi","141-a","161-a","196-a","200-a","185-b","189-a","288-a","305-a","242-a","254-a","322-a","322-a","234-b","234-b","278-a","294-a"
4239,"Fanni","141-a","173-a","196-a","200-a","189-a","193-a","301-a","305-a","254-a","259-a","322-a","326-a","226-a","234-b","278-a","278-a"
4247,"Trezia","141-a","141-a","200-a","204-a","185-c","185-a","301-b","305-a","247-a","259-a","310-a","330-a","238-a","246-b","282-a","294-a"
4249,"Rumumba","153-a","161-a","200-a","200-a","180-a","180-a","267-a","297-a","231-a","259-a","318-a","326-b","234-a","238-b","278-a","286-a"
4346,"Shwali","153-a","173-a","196-a","200-a","185-b","189-a","297-b","301-a","242-a","263-a","310-a","318-a","234-a","234-a","286-a","286-a"
4443,"Glitter","141-a","173-a","203-a","203-a","180-a","189-a","284-a","301-a","242-a","254-a","302-a","322-a","226-a","234-a","278-a","286-a"
4448,"Siri","141-a","157-a","196-a","231-a","189-a","189-a","284-a","297-a","259-a","266-a","302-a","322-a","234-a","234-a","270-a","295-a"
4475,"Flower","141-a","173-a","235-a","235-a","189-b","189-a","305-b","305-a","242-a","246-a","322-a","322-a","230-a","234-a","278-a","278-a"
4515,"Bibi","141-a","153-a","203-a","235-a","185-b","189-b","285-a","297-a","247-b","254-a","302-a","322-a","230-a","234-a","286-a","295-a"
4517,"Lamba","153-a","161-a","200-a","203-a","180-a","180-a","267-a","267-a","231-a","255-a","318-a","322-a","222-a","234-a","278-a","286-a"
4519,"Konyagi","161-a","177-a","200-a","235-a","180-a","189-a","305-b","305-b","255-a","259-a","310-b","334-a","230-b","246-a","270-a","295-a"
4522,"Tom","141-a","161-a","196-a","231-a","189-a","189-a","288-a","301-a","255-a","259-a","302-a","322-a","238-a","246-a","270-a","294-a"
4528,"Keaton","153-a","161-a","203-a","203-a","185-a","189-b","284-a","297-a","259-a","266-a","302-a","322-a","230-a","246-a","286-a","295-a"
4534,"Kazi","141-a","153-a","196-a","200-a","181-a","189-a","267-a","293-a","242-a","263-a","318-a","322-a","234-a","238-a","286-a","295-a"
